tick,nation_id,army_size
0,nation_costa_rica,80
0,nation_nicaragua,20
0,nation_honduras,50
0,nation_guatemala,50
0,nation_panama,50
1,nation_costa_rica,76
1,nation_nicaragua,20
1,nation_honduras,50
1,nation_guatemala,50
1,nation_panama,50
2,nation_costa_rica,72
2,nation_nicaragua,20
2,nation_honduras,50
2,nation_guatemala,50
2,nation_panama,50
3,nation_costa_rica,72
3,nation_nicaragua,20
3,nation_honduras,50
3,nation_guatemala,50
3,nation_panama,50
4,nation_costa_rica,72
4,nation_nicaragua,20
4,nation_honduras,50
4,nation_guatemala,50
4,nation_panama,50
5,nation_costa_rica,72
5,nation_nicaragua,20
5,nation_honduras,50
5,nation_guatemala,50
5,nation_panama,50
6,nation_costa_rica,72
6,nation_nicaragua,20
6,nation_honduras,50
6,nation_guatemala,50
6,nation_panama,50
7,nation_costa_rica,72
7,nation_nicaragua,20
7,nation_honduras,50
7,nation_guatemala,50
7,nation_panama,50
8,nation_costa_rica,72
8,nation_nicaragua,20
8,nation_honduras,50
8,nation_guatemala,50
8,nation_panama,50
9,nation_costa_rica,72
9,nation_nicaragua,20
9,nation_honduras,50
9,nation_guatemala,50
9,nation_panama,50
10,nation_costa_rica,72
10,nation_nicaragua,20
10,nation_honduras,50
10,nation_guatemala,50
10,nation_panama,50
