tick,nation_id,pop_stock,ind_stock,wealth_stock,army_size,culture_individualist,culture_progressive,culture_militaristic,culture_expansionist,culture_family
0,nation_costa_rica,0.00,0.00,10.00,,0.100000,0.300000,-0.800000,-0.600000,latin
0,nation_guatemala,0.00,0.00,10.00,,-0.400000,-0.500000,0.200000,0.100000,latin
0,nation_honduras,0.00,0.00,10.00,,-0.400000,-0.400000,0.100000,-0.100000,latin
0,nation_nicaragua,0.00,0.00,0.00,,-0.300000,0.000000,-0.100000,-0.100000,latin
0,nation_panama,0.00,0.00,0.00,,0.100000,0.200000,-0.400000,-0.300000,latin
1,nation_costa_rica,0.50,0.50,8.20,,0.100000,0.300000,-0.800000,-0.600000,latin
1,nation_guatemala,3.92,1.12,8.90,,-0.400000,-0.500000,0.200000,0.100000,latin
1,nation_honduras,1.62,0.54,8.04,,-0.400000,-0.400000,0.100000,-0.100000,latin
1,nation_nicaragua,0.72,0.24,-2.14,,-0.300000,0.000000,-0.100000,-0.100000,latin
1,nation_panama,0.32,0.32,-1.86,,0.100000,0.200000,-0.400000,-0.300000,latin
2,nation_costa_rica,1.00,1.00,6.40,,0.100000,0.300000,-0.800000,-0.600000,latin
2,nation_guatemala,7.84,2.24,7.80,,-0.400000,-0.500000,0.200000,0.100000,latin
2,nation_honduras,3.24,1.08,6.08,,-0.400000,-0.400000,0.100000,-0.100000,latin
2,nation_nicaragua,1.44,0.48,-4.28,,-0.300000,0.000000,-0.100000,-0.100000,latin
2,nation_panama,0.64,0.64,-3.72,,0.100000,0.200000,-0.400000,-0.300000,latin
3,nation_costa_rica,1.50,1.50,4.60,,0.100000,0.300000,-0.800000,-0.600000,latin
3,nation_guatemala,11.76,3.36,6.70,,-0.400000,-0.500000,0.200000,0.100000,latin
3,nation_honduras,4.86,1.62,4.12,,-0.400000,-0.400000,0.100000,-0.100000,latin
3,nation_nicaragua,2.16,0.72,-6.42,,-0.300000,0.000000,-0.100000,-0.100000,latin
3,nation_panama,0.96,0.96,-5.58,,0.100000,0.200000,-0.400000,-0.300000,latin
4,nation_costa_rica,2.00,2.00,2.80,,0.100000,0.300000,-0.800000,-0.600000,latin
4,nation_guatemala,15.68,4.48,5.60,,-0.400000,-0.500000,0.200000,0.100000,latin
4,nation_honduras,6.48,2.16,2.16,,-0.400000,-0.400000,0.100000,-0.100000,latin
4,nation_nicaragua,2.88,0.96,-8.56,,-0.300000,0.000000,-0.100000,-0.100000,latin
4,nation_panama,1.28,1.28,-7.44,,0.100000,0.200000,-0.400000,-0.300000,latin
5,nation_costa_rica,2.50,2.50,1.00,,0.100000,0.300000,-0.800000,-0.600000,latin
5,nation_guatemala,19.60,5.60,4.50,,-0.400000,-0.500000,0.200000,0.100000,latin
5,nation_honduras,8.10,2.70,0.20,,-0.400000,-0.400000,0.100000,-0.100000,latin
5,nation_nicaragua,3.60,1.20,-10.70,,-0.300000,0.000000,-0.100000,-0.100000,latin
5,nation_panama,1.60,1.60,-9.30,,0.100000,0.200000,-0.400000,-0.300000,latin
6,nation_costa_rica,3.00,3.00,-0.80,,0.100000,0.300000,-0.800000,-0.600000,latin
6,nation_guatemala,23.52,6.72,3.40,,-0.400000,-0.500000,0.200000,0.100000,latin
6,nation_honduras,9.72,3.24,-1.76,,-0.400000,-0.400000,0.100000,-0.100000,latin
6,nation_nicaragua,4.32,1.44,-12.84,,-0.300000,0.000000,-0.100000,-0.100000,latin
6,nation_panama,1.92,1.92,-11.16,,0.100000,0.200000,-0.400000,-0.300000,latin
7,nation_costa_rica,3.50,3.50,-2.60,,0.100000,0.300000,-0.800000,-0.600000,latin
7,nation_guatemala,27.44,7.84,2.30,,-0.400000,-0.500000,0.200000,0.100000,latin
7,nation_honduras,11.34,3.78,-3.72,,-0.400000,-0.400000,0.100000,-0.100000,latin
7,nation_nicaragua,5.04,1.68,-14.98,,-0.300000,0.000000,-0.100000,-0.100000,latin
7,nation_panama,2.24,2.24,-13.02,,0.100000,0.200000,-0.400000,-0.300000,latin
8,nation_costa_rica,4.00,4.00,-4.40,,0.100000,0.300000,-0.800000,-0.600000,latin
8,nation_guatemala,31.36,8.96,1.20,,-0.400000,-0.500000,0.200000,0.100000,latin
8,nation_honduras,12.96,4.32,-5.68,,-0.400000,-0.400000,0.100000,-0.100000,latin
8,nation_nicaragua,5.76,1.92,-17.12,,-0.300000,0.000000,-0.100000,-0.100000,latin
8,nation_panama,2.56,2.56,-14.88,,0.100000,0.200000,-0.400000,-0.300000,latin
