tick,treaty_id,status,party_a,party_b,clauses,term_ticks,tick_ends,total_collateral,collateral_a,collateral_b,escrow_a,escrow_b,refund_a,refund_b
1,1,active,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
2,1,active,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
3,1,active,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
4,1,active,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
5,1,active,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
6,1,active,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
7,1,active,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
8,1,active,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
9,1,active,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
10,1,expired,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
11,1,expired,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
12,1,expired,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
13,1,expired,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
14,1,expired,nation_costa_rica,nation_guatemala,"non_aggression|trade",10,10,10.00,5.00,5.00,0.00,0.00,0.00,0.00
